Category,Manufacturer,Model,Selection.Model,Usage.hours,Year,Age.at.the.sale,Year.of.Sale,Location.code.ISO,Price,Currency,Origine.Data,URL,Id,annonce_id,clean_model,scrap_id
all-terrain-masted-forklift,Manitou,GABELSTAPLER,,,2003,12,2015,DE,12900,EUR,http://www.machineryzone.com,http://www.machineryzone.com/used/all-terrain-masted-forklift/7100769/manitou-gabelstapler.html,http://www.machineryzone.com/used/all-terrain-masted-forklift/7100769/manitou-gabelstapler.html,33865,,691
Telescopic Handlers,Manitou,PERSONKORG,,,2007,8,2015,SE,6244,EUR,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-personkorg/auhr8r6l.html?currency=EUR,http://www.mascus.com/construction/used-telescopic-handlers/manitou-personkorg/auhr8r6l.html?currency=EUR,75783,,691
chariot-telescopique,Manitou,MANIREACH,,6000,2000,16,2016,ES,13500,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-telescopique/4929221/manitou-manireach.html,http://www.agriaffaires.com/occasion/chariot-telescopique/4929221/manitou-manireach.html,80037,,691
chariot-telescopique,Manitou,ŁADOWARKA TELESKOPOW,,5080,2002,13,2015,FR,7813,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-telescopique/4615503/manitou-adowarka-teleskopow.html,http://www.agriaffaires.com/occasion/chariot-telescopique/4615503/manitou-adowarka-teleskopow.html,80517,,691
telescopique,Manitou,Maniscopic,,1500,2003,13,2016,PT,37000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/telescopique/9710390/manitou-maniscopic.html,http://www.agriaffaires.com/occasion/telescopique/9710390/manitou-maniscopic.html,90428,,691
telescopique,Manitou,10,,1114,2005,11,2016,FR,24000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/telescopique/13548661/manitou-1030.html,http://www.agriaffaires.com/occasion/telescopique/13548661/manitou-1030.html,95582,10,2813
telescopique,Manitou,10,,3550,2008,8,2016,DE,22800,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/telescopique/13560656/manitou-1030s.html,http://www.agriaffaires.com/occasion/telescopique/13560656/manitou-1030s.html,95640,10,2813
nacelle-automotrice,Manitou,100 VJR,,150,2010,6,2016,BE,14500,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/6280637/manitou-100-vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/6280637/manitou-100-vjr.html,83095,100 VJR,2377
Personnel lifts and access elevators,Manitou,100 VJR *DEMO*,100VJR,155,2014,1,2015,FR,21318,USD,http://www.mascus.com,http://www.mascus.com/construction/used-personnel-lifts-and-access-elevators/manitou-100-vjr-demo/ck5r8t5f.html,http://www.mascus.com/construction/used-personnel-lifts-and-access-elevators/manitou-100-vjr-demo/ck5r8t5f.html,68829,100 VJR DEMO,1587
nacelle élévatrice-automotrice,Manitou,100 VJR *DEMO*,100VJR,155,2014,1,2015,FR,23850,EUR,http://www.machineryzone.fr,http://www.machineryzone.fr/occasion/nacelle-automotrice/5500091/manitou-100-vjr-demo.html,http://www.machineryzone.fr/occasion/nacelle-automotrice/5500091/manitou-100-vjr-demo.html,79747,100 VJR DEMO,1587
nacelle-automotrice,Manitou,100 VJR *DEMO*,,155,2014,2,2016,DE,23850,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/5942509/manitou-100-vjr-demo.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/5942509/manitou-100-vjr-demo.html,82498,100 VJR DEMO,1587
Scissor Lifts,Manitou,100 XEL,,250,2008,7,2015,FR,2345,USD,http://www.mascus.com,http://www.mascus.com/construction/used-scissor-lifts/manitou-100-xel/4tei3n4g.html,http://www.mascus.com/construction/used-scissor-lifts/manitou-100-xel/4tei3n4g.html,69806,100 XEL,1598
nacelle-automotrice,Manitou,100 XEL,,233,2008,8,2016,SG,6000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/6700022/manitou-100-xel.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/6700022/manitou-100-xel.html,83056,100 XEL,1598
nacelle-automotrice,Manitou,100 XEL,,332,2006,10,2016,SG,5000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/6691508/manitou-100-xel.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/6691508/manitou-100-xel.html,83349,100 XEL,1598
nacelle-automotrice,Manitou,100 XEL,,125,2011,5,2016,SG,7500,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/6700246/manitou-100-xel.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/6700246/manitou-100-xel.html,83380,100 XEL,1598
nacelle-automotrice,Manitou,100 XEL,,451,2006,10,2016,SG,5000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/6691034/manitou-100-xel.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/6691034/manitou-100-xel.html,83416,100 XEL,1598
