Libellé;Libellé (mini);Catalogue;Workspace;Sous Famille;Gamme;Configurable
100 DLX;100 DLX;;;;;
100 DLXS;100 DLXS;;;;;
100 ELX;100 ELX;;;;;
100 SC;100 SC;MANITOU;wksRowAWPlatform;Scissors Platform;SC;833225
100 SEC;100 SEC;MANITOU;wksRowAWPlatform;Electric Scissors Platform;SE-SEC;832093
100 SEC;100 SEC;MANITOU;wksRowAWPlatform;Electric Scissors Platform;SE-SEC;833000
100 VJR;100 VJR;MANITOU;wksRowAWPlatform;Vertical Masted Platform;VJR;684135
100 VJR AUS;100 VJR;MANITOU;wksRowAWPlatform;Vertical Masted Platform;VJR;52501891
100 XEL;100 XEL;;;;;
105 VJR;105 VJR;;;;;
110 ELX;110 ELX;;;;;
110 VJR;110 VJR;;;;;
120 AE;120 AE;;;;;
120 AETJ-C;120 AETJ;MANITOU;wksRowAWPlatform;Electric Articulated Platform;AETJ;682077
120 AETJ-C 3D;120 AETJ;MANITOU;wksRowAWPlatform;Electric Articulated Platform;AETJ;768985
120 DLX;120 DLX;;;;;
120 DLXS;120 DLXS;;;;;
120 ELX;120 ELX;;;;;
120 SC;120 SC;MANITOU;wksRowAWPlatform;Scissors Platform;SC;833226
120 SE;120 SE;MANITOU;wksRowAWPlatform;Electric Scissors Platform;SE-SEC;832094
120 SE;120 SE;MANITOU;wksRowAWPlatform;Electric Scissors Platform;SE-SEC;833001
120 T H;120 T H;;;;;
120 TM;120 TM;;;;;
1350R                         ;1350R                         ;;;;;
140 CT;140 CT;;;;;
140 SC;140 SC;MANITOU;wksRowAWPlatform;Scissors Platform;SC;833528
140 TH                        ;140 TH                        ;;;;;
145 DLX;145 DLX;;;;;
145 DLXS;145 DLXS;;;;;
150 AET;150 AET;;;;;
150 AETJ-C;150 AETJ;MANITOU;wksRowAWPlatform;Electric Articulated Platform;AETJ;680991
150 AETJ-C 3D;150 AETJ;MANITOU;wksRowAWPlatform;Electric Articulated Platform;AETJ;682105
